Назвнаие модели;Цена;Место продажи
Смарт-блокнот с отпечатком Lockbook, беспроводная зарядка и USB 16GB;"
3 100 грн.
";Одесса, Киевский
Нові Amazon Kindle Paperwhite Kids Signature 11th Gen 8ГБ;"
5 000 грн.
";Ровно
Продам pocketbook 632 hd3;"
3 800 грн.
";Харьков, Слободской
Электронная книга Amazon Kindle Paperwhite 11th 2021. Лучше PocketBook;"
4 900 грн.
";Днепр, Соборный
Kindle Oasis. 10 поколение. 8гб. Новый. Запечатан. 7 дюймов. Гарантия;"
5 999 грн.
";Киев, Оболонский
Акция! 10 Gen 2019/2021 • из США • Электронная книга Amazon Kindle;"
2 099 грн.
";Львов, Галицкий
Электронная книга PocketBook 613 (требует минимального ремонта );"
670 грн.
";Николаев, Заводский
Pocketbook surfpad u7  планшет;"
600 грн.
";Киев, Деснянский
Нова електронна книга Amazon Kindle Paperwhite 5 2021 11 gen, ONLINE;"
4 399 грн.
";Киев, Днепровский
Электронная книга kindle;"
700 грн.
";Запорожье, Днепровский
Розборка Электронная книга Nook Simple Touch-батарея,корпус  екран;"
200 грн.
";Умань
Електронна книга PocketBook 515 mini;"
1 000 грн.
";Тараща
Amazon Kindle Voyage з підсвіткою.;"
1 700 грн.
";Лапаевка
Електронна книга PocketBook 628 Touch Lux 5 Ink Black/Red Нові;"
3 870 грн.
";Львов, Франковский
NextBook nx785qc8g(донор);"
180 грн.
";Киев, Оболонский
Продам pocketbook 632 hd3;"
3 800 грн.
";Харьков, Слободской
Pocketbook 626 (на запчастини, під ремонт) електронна книга;"
400 грн.
";Ивано-Франковск
Электронная книга Amazon Kindle Школьнику Читает все форматы;"
1 150 грн.
";Киев, Дарницкий
Amazon Kindle 2022. 8 гб. Новый. Запечатан. Гарантия. От магазина;"
2 699 грн.
";Львов, Галицкий
Pocketbook 741, InkPad 3, Pro;"
4 650 грн.
";Новояворовск
Электронная книга Amazon Kindle 4 (D01100) Оригинал!;"
500 грн.
";Киев, Соломенский
В наявності Комплект Amazon Kindle Paperwhite Kids 11th 2021;"
5 250 грн.
";Тернополь
Электронная книга PRESTIGIO NOBILE PER3884B;"
230 грн.
";Винница, Замостянский
Чехол для электронной книги Amazon Kindle;"
300 грн.
";Полтава
Электронная книга/читалка/ PocketBook 360;"
799 грн.
";Одесса, Приморский
Нові Amazon Kindle Paperwhite Kids Signature 11th Gen 8ГБ;"
5 000 грн.
";Ровно
Электронная книга Pocketbook 614, читалка, ридер.;"
1 649 грн.
";Одесса, Суворовский
Pocketbook 626 Touch Lux 2, электронная книга, с подсветкой, 32 Гб.;"
2 799 грн.
";Одесса, Суворовский
Электронная книга;"
300 грн.
";Харьков, Шевченковский
Электронная книга Amazon Kindle Paperwhite 10th Generation 8GB;"
3 640 грн.
";Киев, Голосеевский
Самый новый Amazon Kindle Oasis 10Gen 32GB Graphite;"
5 599 грн.
";Киев, Шевченковский
Amazon Kindle 10th Gen Электронная книга Гарантия 1 год;"
2 540 грн.
";Киев, Голосеевский
Эл.книга Sony PRS-300 под восстановление;"
400 грн.
";Кривой Рог, Метталургический
Електронна книга V3;"
500 грн.
";Казатин
Электронная книга Сони;"
1 800 грн.
";Одесса, Суворовский
Электронная книга Tolino Shine 3 новая HD 300 ppi Германия;"
3 300 грн.
";Киев, Дарницкий
Планшет, электронная книга;"
50 грн.
";Конотоп
Электронная записная книжка CITIZEN, CASIO;"
100 грн.
";Кривой Рог, Метталургический
Kindle Paperwhite 2020. 8 гб. Гарантия. Из США. От магазина;"
1 999 грн.
";Киев, Оболонский
Nook Glowlight Plus. Как новый. Подсветка. 300ppi.Гарантия.От магазина;"
1 399 грн.
";Киев, Оболонский
Kindle paperwhite 2020. 8 гб. Водонепроницаемая. Из США;"
1 599 грн.
";Львов, Галицкий
Kindle Paperwhite 2017. 7 поколение. Черный. Гарантия. Магазин. Из США;"
1 299 грн.
";Киев, Оболонский
Amazon Kindle 5. Все форматы. Гарантия. Магазин. Из США;"
499 грн.
";Львов, Галицкий
Amazon Kindle Voyage. Подсветка. 300ppi. Гарантия. Магазин. Из США;"
1 699 грн.
";Киев, Оболонский
Электронная книга Tolino Shine 3 новая HD 300 ppi Германия;"
3 300 грн.
";Киев, Дарницкий
Электронная книга Amazon Kindle Paperwhite 2021 Гарантия год от нас;"
5 440 грн.
";Киев, Голосеевский
Kindle Paperwhite 2020. 8 гб. Гарантия. Из США. От магазина;"
1 999 грн.
";Киев, Оболонский
Amazon Kindle 2022. 8 гб. Новый. Запечатан. Гарантия. От магазина;"
2 699 грн.
";Львов, Галицкий
Электронная книга Amazon Kindle Paperwhite 10th Generation 8GB;"
3 640 грн.
";Киев, Голосеевский
Amazon Kindle Paperwhite 7 generation. Новая. Гарантия. От магазина;"
1 999 грн.
";Киев, Оболонский
Электронная книга Sony PSR-300. Все форматы. Русский. 5 дюймов.Магазин;"
399 грн.
";Киев, Оболонский
Amazon Kindle 8 generation. 2017-2018 года. Сенсорный. Черный.Гарантия;"
999 грн.
";Киев, Оболонский
Kindle Oasis. 10 поколение. 8гб. Новый. Запечатан. 7 дюймов. Гарантия;"
5 999 грн.
";Киев, Оболонский
Nook Simple Touch. BNRV300. Все форматы. Русский. Гарантия.От магазина;"
699 грн.
";Киев, Оболонский
Kindle 2022. Refurbished. Как новый. Гарантия. Из США;"
1 799 грн.
";Киев, Оболонский
Электронная книга Kindle 4;"
1 000 грн.
";Мукачево
"Amazon Kindle Paperwhite Kids 11th Gen 6.8"" 2022 с обложкой, ONLINE";"
5 450 грн.
";Днепр, Чечеловский
Amazon Kindle Paperwhite 10 gen 8Gb;"
3 500 грн.
";Хмельницкий
Onyx Boox Note Air 2 Вся линейка Onyx Nova Color Note Poke 3 Leaf Lumi;"
15 133 грн.
";Киев, Днепровский
"• 6,8"" дюйм • 2021 11 gen Новая! эл.книга Amazon Kindle PaperWhite 8Gb";"
4 699 грн.
";Львов, Галицкий
Електронные;"
150 грн.
";Одесса, Киевский
Электронная книга Ergo book 0502R;"
500 грн.
";Киев, Днепровский
"Amazon Kindle Paperwhite Kids 11th Gen 6.8"" 2021 запечатана в обложке";"
5 450 грн.
";Днепр, Шевченковский
Электронная книга Kobo Touch;"
800 грн.
";Новодружеск
Электронную сенсорную книгу Posketbook 622 в рабочем состоянии, б/у.;"
800 грн.
";Киев, Деснянский
Электронная книга Prestigio;"
400 грн.
";Киев, Печерский
Электронная книга Amazon Kindle Paperwhite 11th 2021. Лучше PocketBook;"
4 900 грн.
";Днепр, Соборный
Электронная книга PocketBook Pro 912 education в идеальном состоянии;"
3 500 грн.
";Одесса, Малиновский
Kindle (10th gen) 4gb (не Paperwhite) підсвітка + чохол;"
1 350 грн.
";Корсунь-Шевченковский
Amazon Kindle Paperwhite Kids 11th 2021 8Gb Нова Запакована;"
5 250 грн.
";Тернополь
В отл состоянии Amazon Kindle 3 с оригинальным чехлом с подсветкой;"
1 700 грн.
";Киев, Оболонский
Продам электронную книгу Sony Digital Paper Tablet DPT-CP1;"
7 500 грн.
";Черкассы
Электронная книга Amazon Kindle Paperwhite Kids (11 gen,2год гарантия);"
5 400 грн.
";Одесса, Малиновский
Электронная записная книжка;"
100 грн.
";Кривой Рог, Покровский
"Kobo Aura Edition 2  6""E Ink Carta сенсор+подсветка";"
1 999 грн.
";Киев, Соломенский
Раритетная электронная книга E-Book RCA REB1100 Thomson;"
750 грн.
";Киев, Печерский
Amazon Kindle Paperwhite. Подсветка.Гарантия. От магазина. Из США;"
999 грн.
";Львов, Галицкий
Электронная книга DIREC;"
200 грн.
";Киев, Днепровский
PocketBook e-Book Reader Basic Lux 2  model 616 8GB;"
1 950 грн.
";Одесса, Киевский
Электронная книга PocketBook;"
2 100 грн.
";Винница, Ленинский
Электронная книга Ergo book 0602;"
300 грн.
";Киев, Дарницкий
Remarkable 2. Как новый. 10 дюймов. Стилус - Marker Plus и Чехол;"
17 999 грн.
";Львов, Шевченковский
Электронная книга PocketBook;"
800 грн.
";Сумы
Remarkable 1. Как новый. 10 дюймов. Стилус. Электр блокнот. Чехол;"
9 999 грн.
";Львов, Шевченковский
Kindle Oasis 10 покол. Как новый. Теплота подсв. 8гб. Чехол;"
5 199 грн.
";Львов, Галицкий
Amazon Kindle 2022. 8 гб. Новый. Запечатан.Офлайн.Гарантия.От магазина;"
2 199 грн.
";Львов, Шевченковский
Onyx Boox Note Air. Новый. 10 дюймов. Открытая коробка. Гарантия;"
12 999 грн.
";Львов, Галицкий
Pocketbook 624 новый экран в пленке;"
1 130 грн.
";Запорожье, Днепровский
